"city","avg_price","avg_monthly_occupancy_rate","avg_yearly_occupancy_rate","avg_host_count","host_profile"
London,235.809780,60.397385,45.768233,1,"1) Single Host"
London,233.810214,61.117378,41.654468,2,"2) Small Multi-Host"
London,264.834011,59.987354,36.901347,6,"3) Medium Multi-Host"
London,354.237042,59.942367,36.979118,53,"4) Commercial Host"
New York,198.220231,45.593154,34.591641,1,"1) Single Host"
New York,174.203763,47.834592,31.225420,2,"2) Small Multi-Host"
New York,206.189581,49.733920,28.221644,6,"3) Medium Multi-Host"
New York,227.233319,45.982560,25.636612,100,"4) Commercial Host"
Paris,261.361794,65.597374,52.837061,1,"1) Single Host"
Paris,257.090628,68.163321,45.767430,2,"2) Small Multi-Host"
Paris,335.484585,66.525207,37.602256,6,"3) Medium Multi-Host"
Paris,327.496099,69.043165,36.489211,82,"4) Commercial Host"
Tokyo,173.627411,54.184912,41.641807,1,"1) Single Host"
Tokyo,150.024606,53.903653,41.886424,2,"2) Small Multi-Host"
Tokyo,133.532953,55.271219,42.429692,6,"3) Medium Multi-Host"
Tokyo,136.537715,60.947151,41.834149,55,"4) Commercial Host"
