"city","neighbourhood_cleansed","avg_accommodates","avg_total_price","avg_price_per_guest"
New York,Greenwich Village,2,400.290000,147.5100000000000
London,City of London,3,435.250000,143.6600000000000
New York,Stuyvesant Town,2,246.290000,140.0700000000000
New York,Tribeca,3,392.590000,139.1000000000000
New York,SoHo,3,414.620000,136.8500000000000
New York,Theater District,2,312.650000,123.0700000000000
London,Kensington and Chelsea,3,427.440000,122.0000000000000
New York,Midtown,3,346.890000,120.1300000000000
Paris,Louvre,3,398.750000,117.8400000000000
New York,Financial District,3,357.100000,117.6200000000000
New York,West Village,2,323.630000,117.2000000000000
London,Westminster,3,435.100000,116.8500000000000
Paris,Élysée,3,432.550000,115.5400000000000
New York,Flatiron District,2,244.320000,115.4000000000000
Paris,Palais-Bourbon,3,367.300000,110.8700000000000
Paris,Luxembourg,3,357.220000,110.7500000000000
New York,Lower East Side,2,277.090000,109.4600000000000
New York,Murray Hill,3,301.760000,109.0800000000000
New York,Chelsea,2,261.070000,104.3000000000000
Paris,Temple,3,350.510000,101.9000000000000
Paris,Hôtel-de-Ville,3,326.510000,100.7000000000000
New York,Brooklyn Heights,2,238.390000,97.0000000000000
Paris,Opéra,3,311.630000,96.6400000000000
New York,Nolita,2,234.310000,96.3600000000000
New York,Prospect Heights,3,266.270000,96.1300000000000
Paris,Passy,3,342.620000,96.0900000000000
New York,East Village,2,248.270000,93.8400000000000
New York,Greenpoint,3,266.320000,93.5400000000000
Paris,Bourse,3,356.770000,93.5100000000000
New York,Little Italy,2,232.860000,93.0700000000000
New York,Chinatown,2,244.960000,92.6800000000000
London,Camden,3,311.610000,92.5500000000000
Paris,Panthéon,3,298.520000,92.4800000000000
New York,Gramercy,2,243.800000,92.1200000000000
New York,Downtown Brooklyn,2,235.220000,90.5500000000000
New York,Carroll Gardens,3,286.820000,90.1800000000000
New York,Williamsburg,2,201.300000,87.1500000000000
New York,Hell's Kitchen,3,243.210000,87.1000000000000
New York,Two Bridges,2,185.740000,86.7300000000000
New York,Cobble Hill,3,306.830000,86.2600000000000
New York,Upper West Side,2,232.120000,86.2000000000000
London,Wandsworth,3,286.170000,85.0500000000000
London,Islington,3,262.390000,84.9300000000000
New York,Boerum Hill,3,275.750000,84.9000000000000
Paris,Vaugirard,3,265.780000,83.7200000000000
London,Hammersmith and Fulham,3,279.880000,83.5500000000000
New York,Upper East Side,3,238.790000,82.0600000000000
Paris,Batignolles-Monceau,3,259.400000,81.2300000000000
Paris,Entrepôt,3,251.590000,78.9100000000000
New York,Kips Bay,3,221.910000,78.8200000000000
New York,Morningside Heights,2,168.550000,77.8900000000000
London,Hackney,3,229.830000,77.8500000000000
London,Richmond upon Thames,3,273.720000,77.8400000000000
New York,Park Slope,3,229.240000,77.6000000000000
London,Tower Hamlets,3,237.300000,77.2000000000000
New York,Gowanus,3,243.810000,77.1400000000000
New York,Fort Greene,2,206.150000,76.9800000000000
New York,Red Hook,3,249.690000,76.4900000000000
Paris,Popincourt,3,237.290000,76.3200000000000
London,Lambeth,3,246.080000,76.0600000000000
London,Southwark,3,243.770000,76.0500000000000
London,Merton,3,245.150000,75.1100000000000
New York,Bath Beach,2,179.780000,74.6900000000000
New York,Long Island City,3,199.570000,74.4800000000000
New York,South Slope,3,207.210000,74.1600000000000
Paris,Buttes-Montmartre,3,211.020000,72.9300000000000
Paris,Observatoire,3,218.880000,72.7600000000000
New York,Ozone Park,2,151.670000,72.7000000000000
London,Brent,3,237.030000,72.3500000000000
New York,Port Morris,2,152.600000,71.3500000000000
New York,Clinton Hill,3,197.320000,70.7500000000000
New York,Windsor Terrace,3,184.120000,69.4200000000000
Paris,Reuilly,3,220.570000,69.1100000000000
New York,Ditmars Steinway,2,131.440000,68.9700000000000
New York,Arverne,3,225.890000,68.9500000000000
New York,Kew Gardens Hills,2,135.550000,68.8300000000000
London,Hounslow,3,208.070000,68.8200000000000
New York,Bergen Beach,2,159.280000,68.4500000000000
London,Newham,3,221.960000,68.3700000000000
Paris,Gobelins,3,210.180000,67.9000000000000
New York,Sheepshead Bay,2,159.040000,67.4500000000000
New York,South Ozone Park,3,175.570000,67.4200000000000
London,Redbridge,3,191.310000,66.3100000000000
New York,Gravesend,2,124.960000,65.5200000000000
New York,Flatbush,2,148.920000,65.3200000000000
London,Kingston upon Thames,3,207.380000,64.9700000000000
London,Haringey,3,203.760000,64.8900000000000
New York,Canarsie,2,150.860000,64.6800000000000
New York,Howard Beach,2,159.580000,64.5900000000000
London,Ealing,3,180.900000,63.6500000000000
New York,Sunset Park,2,166.350000,63.5600000000000
Paris,Buttes-Chaumont,3,197.920000,63.3600000000000
New York,East Flatbush,2,142.560000,63.3100000000000
New York,Harlem,2,159.660000,63.1100000000000
New York,Cambria Heights,2,135.930000,62.8800000000000
London,Greenwich,3,198.540000,62.6400000000000
Paris,Ménilmontant,3,187.540000,62.5100000000000
London,Barnet,3,196.310000,61.9700000000000
New York,Bushwick,2,131.750000,61.8700000000000
New York,Springfield Gardens,3,157.050000,61.7500000000000
Tokyo,Mitaka Shi,3,159.900000,61.7400000000000
New York,East Harlem,3,160.130000,61.7000000000000
New York,Bedford-Stuyvesant,2,148.460000,60.6800000000000
London,Waltham Forest,3,175.450000,60.5700000000000
London,Hillingdon,3,173.400000,60.4200000000000
New York,Mott Haven,2,153.310000,60.3800000000000
New York,Allerton,3,136.180000,60.1700000000000
London,Harrow,3,172.310000,60.1200000000000
New York,Brownsville,3,154.500000,60.0200000000000
New York,Maspeth,2,123.870000,59.5800000000000
New York,Crown Heights,3,177.230000,59.5100000000000
New York,Astoria,2,142.940000,59.4400000000000
London,Lewisham,3,173.360000,58.8400000000000
New York,Sunnyside,2,116.930000,57.8200000000000
New York,Flatlands,2,145.520000,57.7200000000000
London,Enfield,3,180.500000,57.6300000000000
New York,Rosedale,3,150.560000,57.3700000000000
New York,Prospect-Lefferts Gardens,2,142.900000,56.7400000000000
New York,Richmond Hill,2,122.700000,56.3400000000000
London,Bromley,3,180.170000,56.0400000000000
New York,Borough Park,2,100.520000,55.9700000000000
New York,Inwood,2,116.200000,55.9600000000000
London,Sutton,2,140.860000,55.7800000000000
New York,Tompkinsville,2,122.570000,55.5300000000000
Tokyo,Musashino Shi,3,161.040000,55.3000000000000
New York,Rockaway Beach,3,147.770000,55.1900000000000
London,Havering,3,171.430000,55.1900000000000
New York,Randall Manor,3,128.620000,55.0500000000000
New York,Pelham Gardens,2,108.960000,54.9400000000000
New York,Fort Hamilton,2,144.530000,54.2400000000000
New York,Washington Heights,2,125.430000,54.2000000000000
