"city","host_is_superhost","total_listings","avg_availability_30","avg_reviews","avg_rating","avg_price"
London,"",58,13,23,4.580000,195.830000
London,FALSE,34368,11,27,4.590000,254.870000
London,TRUE,13695,8,63,4.860000,294.460000
New York,"",417,21,35,4.590000,226.770000
New York,FALSE,9145,16,43,4.650000,183.380000
New York,TRUE,4960,10,82,4.860000,195.710000
Paris,"",153,14,49,4.700000,221.310000
Paris,FALSE,25903,9,35,4.690000,258.910000
Paris,TRUE,13332,7,72,4.860000,285.540000
Tokyo,FALSE,12164,13,35,4.630000,126.710000
Tokyo,TRUE,16085,12,52,4.840000,148.370000
