"city","avg_price_per_guest","avg_review_scores","total_listings","business_ready","residentially_equipped","luxury_profile"
London,103.04,4.810000,172,"1)Full Business Ready","1)Fully Equipped","2)Mostly Luxurious"
London,161.21,4.720000,470,"1)Full Business Ready","1)Fully Equipped","3)Moderately Luxurious"
London,129.26,4.560000,62,"1)Full Business Ready","1)Fully Equipped","4)Not Luxurious"
London,59.36,4.750000,22,"1)Full Business Ready","2)Highly Equipped","1)Luxurious"
London,75.05,4.780000,2171,"1)Full Business Ready","2)Highly Equipped","2)Mostly Luxurious"
London,86.14,4.700000,9881,"1)Full Business Ready","2)Highly Equipped","3)Moderately Luxurious"
London,83.82,4.640000,2922,"1)Full Business Ready","2)Highly Equipped","4)Not Luxurious"
London,68.41,4.830000,35,"1)Full Business Ready","3)Moderately Equipped","2)Mostly Luxurious"
London,76.87,4.650000,708,"1)Full Business Ready","3)Moderately Equipped","3)Moderately Luxurious"
London,78.6,4.530000,844,"1)Full Business Ready","3)Moderately Equipped","4)Not Luxurious"
London,58.18,4.390000,32,"1)Full Business Ready","4)Not Equipped","3)Moderately Luxurious"
London,59.26,4.310000,33,"1)Full Business Ready","4)Not Equipped","4)Not Luxurious"
London,120.72,4.750000,217,"2)Standard Business Ready","1)Fully Equipped","2)Mostly Luxurious"
London,139.01,4.760000,1049,"2)Standard Business Ready","1)Fully Equipped","3)Moderately Luxurious"
London,137.53,4.640000,257,"2)Standard Business Ready","1)Fully Equipped","4)Not Luxurious"
London,75.93,4.800000,2811,"2)Standard Business Ready","2)Highly Equipped","2)Mostly Luxurious"
London,81.19,4.710000,18814,"2)Standard Business Ready","2)Highly Equipped","3)Moderately Luxurious"
London,87.8,4.620000,8713,"2)Standard Business Ready","2)Highly Equipped","4)Not Luxurious"
London,73.66,4.770000,134,"2)Standard Business Ready","3)Moderately Equipped","2)Mostly Luxurious"
London,69.16,4.600000,4507,"2)Standard Business Ready","3)Moderately Equipped","3)Moderately Luxurious"
London,75.07,4.490000,5617,"2)Standard Business Ready","3)Moderately Equipped","4)Not Luxurious"
London,62.06,4.660000,312,"2)Standard Business Ready","4)Not Equipped","3)Moderately Luxurious"
London,72.71,4.290000,548,"2)Standard Business Ready","4)Not Equipped","4)Not Luxurious"
London,86.97,4.470000,157,"3)Not Business Ready","2)Highly Equipped","3)Moderately Luxurious"
London,88.59,4.300000,92,"3)Not Business Ready","2)Highly Equipped","4)Not Luxurious"
London,72.29,4.160000,148,"3)Not Business Ready","3)Moderately Equipped","3)Moderately Luxurious"
London,77.66,4.440000,213,"3)Not Business Ready","3)Moderately Equipped","4)Not Luxurious"
London,103.8,4.890000,30,"3)Not Business Ready","4)Not Equipped","3)Moderately Luxurious"
London,105.42,4.530000,162,"3)Not Business Ready","4)Not Equipped","4)Not Luxurious"
New York,87.74,4.780000,85,"1)Full Business Ready","1)Fully Equipped","2)Mostly Luxurious"
New York,98.64,4.820000,415,"1)Full Business Ready","1)Fully Equipped","3)Moderately Luxurious"
New York,97.01,4.680000,167,"1)Full Business Ready","1)Fully Equipped","4)Not Luxurious"
New York,71.38,4.830000,672,"1)Full Business Ready","2)Highly Equipped","2)Mostly Luxurious"
New York,84.05,4.760000,3595,"1)Full Business Ready","2)Highly Equipped","3)Moderately Luxurious"
New York,86.6,4.730000,1375,"1)Full Business Ready","2)Highly Equipped","4)Not Luxurious"
New York,45.88,4.800000,20,"1)Full Business Ready","3)Moderately Equipped","2)Mostly Luxurious"
New York,77.86,4.700000,267,"1)Full Business Ready","3)Moderately Equipped","3)Moderately Luxurious"
New York,84.23,4.560000,255,"1)Full Business Ready","3)Moderately Equipped","4)Not Luxurious"
New York,101.88,4.830000,153,"2)Standard Business Ready","1)Fully Equipped","2)Mostly Luxurious"
New York,101.02,4.780000,698,"2)Standard Business Ready","1)Fully Equipped","3)Moderately Luxurious"
New York,103.62,4.780000,222,"2)Standard Business Ready","1)Fully Equipped","4)Not Luxurious"
New York,77.57,4.840000,451,"2)Standard Business Ready","2)Highly Equipped","2)Mostly Luxurious"
